NAMES,REVIEWS,RATING
Vivekanand Maurya,"

  I bought this television as it's features were awesome but when the tv arrived and i started using it i started noticing defects.1. When we increase volume the audio started to distort when ever watching movie background music and sound started to mix and can't able to hear that sound.2. Front pannel is not well placed in it. It's cause of the company cheap quality of plastic that they have used in television the front bezels are coming off due to which the light leaks this is with all vu televisions as i replaced it with another and found same defect in it .I have atached pictures of that .Think once before buying this television.I am updating this review as 1 it's been one month and the speaker's of the television stopped working already. And when I am trying to register complaint on the website it shows error and the page refresh itself.??

",1.0 out of 5 stars
jalandhar,"

  Great picture and sound quality

",5.0 out of 5 stars
SHARIQUE KHAN,"

  Best High end android TV in this range.Android 9 OSHotkeys for Netfix, prime, YouTube & Google Play (though Amazon prime is having login issue).Picture quality is very good even without 4K screen.Sound quality is also good.No issue faced till now in connectivity ( WiFi, Bluetooth or USB all works absolutely fine).Absolutely flawless screen cast from mobile.Patch wall is simple and easy to use.Around 5GB free internal memory.So far so Good..Customer case is little slow but OK.No smart remote.Difficult to insert USB.Overall very impressive product.#Edit1 : Amazon prime is working fine now after software upgrade. Now it is perfect.

",5.0 out of 5 stars
yogesh,"

  Nice product with low price. Sound and picture quality are awesome. Looks better than any other 40"" Inch TV.

",5.0 out of 5 stars
Uday,"

  Delivery: 5/5Picture Quality: 5/5Sound: 4/5 (Sound cracks on high volume)Smart features: 5/5Installation: 1/5 (Installation after too many complains and intense follow ups)I am writing this review after using this product for more than 3 monts. It's a nice product from Vu. Liked it.

",4.0 out of 5 stars
Sanjeev,"

  The product details say it has prime video app. Can be seen on the remote too. However, it doesn't support prime video. Prime video does not work on this product. This should be clearly stated on the product details so the buyer knows what he is buying. Very disappointed with the product.

",1.0 out of 5 stars
sivakumar,"

  The TV is came on oct 3rd and the installation date is 4th.. still now the installation person is not came.. Then  The installation person is properly not response with us... So I was not happy with buying this... But the led TV product is good... I was complaint in only installation person..

",4.0 out of 5 stars
Animesh,"

  Updating the customer rating from 1 to 3 star because of the concern they shown toward my disappointment,even though they were not responsible because the installation is outsourced to a 3 party vendor qdigi which has pathetic serviceDeducting 2 stars because voice recognition is not there and sound quality is not good but don’t expect a lot at this price bracketOverall it’s a good product

",5.0 out of 5 stars
Satish,"

  Installation never happened but received a message ""Service completed"".VU guy informs me, Amazon instructed him about installation after 46 days.Shame on you guys.You write negative, Amazon deletes it, saying ""its Misleading"".

",1.0 out of 5 stars
HARIJA,"

  Prime is not working in this TVCustomer care is also not supportingAll athoer apps are workingDelivered very late and installation not done yet.. I couldn't experience the product

",1.0 out of 5 stars
Sivamurugan P.,"

  Seems i got a defected piece..  A rupture sound is coming and very slow in reacting to apps after our click.

",1.0 out of 5 stars
