NAMES,REVIEWS,RATING
Manish Singh,"

  The delivered product is what is shown on Amazon site.Price - Bought is for 15499 an Amazon Sale after cashback and discounts along with additional discount offer on FireTV stickPicture Quality - Great for HD content. Ok for SD contentSound Quality - It is loud. Have to teak sound settings as per your linking for clarity.  A Decent soundbar can provide sound effects.Android Experience is great. Netflix, Hotstar and Amazon Prime works fine. Amazon Prime works great after factory reset.What is Missing is Google assistant Button on remote.Recommend to buy.

",4.0 out of 5 stars
joyspl,"

  Beware of warranty issue after purchase. I have also talked with VU Service centre to change warranty name and location for my name and addresses. But they did not able to do so. So you will get no warranty in case  services or repair (if any)

",1.0 out of 5 stars
Gishanalam Darvajkar Raj,"

  This Tv i am purchasing it 2nd time...First I had purched it in Jan 2016..when newly TV was launched in india.Unknowgly my daughter had damaged the pannel hence purched it again. Otherwise it was running flawless. The pannel price is 75% of the Tv price.However I am more happy with this Android TV...it is recommended to invest little money and explore the latest technology..No need to buy expensive TVs beacause technology will change in 2-3 years.. Thought I have Sony Bravia in my living Room with home theatre since 2010.it is highly recommended to get it in 18500/- on Amazon Prime Day..Picture *****Sound *****Technology *****SIMPLE HELPUL AND INTELLIGENT

",5.0 out of 5 stars
Ravindranath E I,"

  I ordered for the VU 80 CMS LED TV and the Amazon delivery was really amazing experience.Now coming to the VU TV itself, it is a well-designed intelligent product. It performs well, connections are easy, the blue-tooth connectivity is also great. It sits pretty. I use this both as a monitor for my LAPTOP is great for WFH. I also connect my TATASKY Settop box through one of the two HDMI inlets.The remote that controls the VU is simplicity itself by design and is very handy to use.If the size is OK for a home, you can use this as a TV as well as a monitor. But for a home viewing, this size is rather small. When you need a dual-purpose display unit, nothing else would stand up to VU. Go for it. Rotarian PROF. E.I. Ravindranath

",5.0 out of 5 stars
Amazon Customer,"

  This tv is working on the latest android 9 orio.the dolpy sound is excellent.picture quality is excellent.super service in installation.VU company engineer Prasanth mujumdar from bombay helped me over online and cleared all my doubts and problems. Thanks for him.initially prime video was not working. They solved it quickly. Now prime video is working alright.excellent tv with the lowest price with all good qualities. VU company has released this latest model thiis month only in india.brand new tv with all new features.single button press for youtube, prime video, hotstar is very useful for me. Just go for it.

",5.0 out of 5 stars
Nitish Kumar,"

  Pros:1) Picture and Sound Quality is really Good a d besf for viewing at distance of 4 feet.2) Android TV system UI operates smothly.3) Got it in RS 10349 during sale and also got RS 1000 in amazon pay as Cashback so Its a value for money product. So good for starters.Cons:1) There is no Google Voice Assistant in remote so this is a big problem for me. I have to use my phone using Android TV app downloaded from Play Store to use voice assistant using bluetooth (You can also use WiFi) but even it doesn't work well like I can't use it to search using voice on YouTube. Full review soon. Need fix in Android TV UI.2) Dual core processor is not enough for this TV as it is slow in opening apps.3) Screen sharing/mirroring lags using Redmi Note 5 Pro phone but my phone cast fine with laptop so its TV problem.My verdict: If you are tight on budget go for this TV as it has very good picture quality.

",4.0 out of 5 stars
venkatreddy neelam,"

  Its worst Tv Its have Spekar & Softwer problem west TV (My Sugetion is Dont Buy The Vu android TV)

",1.0 out of 5 stars
DEEPAK GHARAT,"

  40"" Bought in 16010/- (with icici discount). Amazon allow to check product with ""free open box verification"" which is really helful.Nice picture clarity, good contrast ratio, there is li'l bit vibrating voice/music on high volume, 1080i videos plays smoothly.But wait.... there is lot of hectic for installation. My TV has been installed after 19 days from the product delivery. after 1 time service man refuse to came due to traffic and 2 times VECARE (amazon's vendor) appoint the service man which was not belongs to my area. VECARE is the worst service i have ever experieced in my life.And.... don't forgot to extend warranty.

",3.0 out of 5 stars
Tirthankar sinha,"

   Pros-*Picture quality is surprisingly awesome considering price.*Colours are prominent.*Sound quality is excellent.*Built quality is acceptable.*SD video quality on cable boxes are managble.*Hd,fhd  videos played excellently.*Google Chromecast works fine.*Many popular apps works fineCons-*Loading time sometimes take 10-12 seconds.*Built quality could have been more stylish but obviously couldn't ask more as competitive mrp offered.*Installation service finalized 5 days after my scheduled date.*Don't have voice recognition, i have to connect my mobile remote with TV for voice recognition.Conclusion:-Doesn't found many weakness in the TV except service delayed. Purchased at around 16000(after discount) on Amazon festival sale.

",5.0 out of 5 stars
Neel Gajbhiye,"

  VU is a gamechanger!Best in segment quality and price. Bought this 40GA vu tv, delivered within a day, installation within 30min.Excellent Picture Quality. Great smart Features. Speakers are awesome at 30% volume only.Great value for money. I didn't expect this much. All apps working out of the box and the customer service is lovely.I suggest you buy extended warranty for being carefree in the future.

",5.0 out of 5 stars
Shriram P.,"

  I recently brought VU TV. I was so impressed with the functionality and the clarity of the Pictures. The Android in VU tv works flawlessly. I also have MI tv which is basically crap with lot of bugs in Android. There are lot of TV apps not working properly in MI Tv. Also VU in terms of power consumption has 4 stars compared to MI TV which has just 1 star.So I would advice people to buy VU tv rather than MI tv. Only disadvantage in VU tv is they do not have voice recognition. But if you install firestick I think you can solve that too.

",5.0 out of 5 stars
Nana,"

  Not able to view Amazon prime.The invoice along with the product is not in my name and leads a confusion of mentioning the sr no of the product for warranty registration.

",3.0 out of 5 stars
Rajan,"

  Amazing product from VU...This is my first Smart HD TV, and I realize what I have been missing all these years.... It's a beautiful looking TV, Picture Quality is life like (at recommend viewing distant), Sound is ample enough to fill a room with crisp and clear output (don't spend money buying a sound bar for this TV) and the apps are pretty Swift and easy to navigate (I mean not as swiftly as you can on your laptop or phones, but you'll get the hang of it). Only miss is the voice control remote, would have saved a lot of time typing the content name and don't even think of the Android TV remote its uselessBut Overall it's definitely an outright winner in the price range of 20k

",5.0 out of 5 stars
Ebenezer RS,"

  Update on 30/12 :Service center followed up by themselves and it was a software glith so they re installed the software. Now TV works fine on mobile hot spot, getting updated and I am able to download apps. Sound is also consistent. The effort of service personnel Mr.Senthil and Bismi electronics appreciated.Old review.1.Will only download apps with a very fast network, like more than 15 MBps2 Intermittent loss of sound, needs to be reset again3.Apps don't updateOtherwise good for Netflix and prime.

",5.0 out of 5 stars
Shakun,"

  UPDATE: Apr 21, 2020Vu's service team fixed the TV soon after my review. Apparently it needed a software upgrade which somehow couldn't happen online but the service guy had to do it using his flashdrive. Most of the issues are now fixed. I still do not like the sound system, but otherwise the TV is serving its purpose for now. Wonder why new purchases couldn't have had the latest software updates installed already. I'd still deduct 2 stars for the sound quality.ORIGINAL POST: Mar 11, 2020I don’t regret any other Amazon purchase as I do for this Vu TV. I am someone who buys low-cost brand’s TVs because I like upgrading every few years. I had a 40” Micromax non-smart/standard TV for the last 3 years and it worked like a charm. I liked the picture quality and the sound and it worked decently with my Firestick. Then I decided to upgrade to a smart tv and not rely just on my Firestick for streaming apps. Oh boy, why did I choose Vu! Issues with this smart TV: the screen goes blank/black randomly, doesn’t matter if you are streaming over the web or casting a video from your laptop. There was a short powercut and it messed up the volume of the TV when it turned on. I could volume up to 100% and could hear as if it’s only 20% volume. The other day the home screen loaded in just half of the screen. You can’t hear the sound well in the room but every other faraway room gets the sound from the TV pretty loudly, no it’s not a messed up sound setting, we tried them all. Responsiveness to remote operations is slow too.Unfortunately, I was travelling and the return window expired by the time I discovered all these issues. I seriously regret buying  this. For economical brands, please look elsewhere. Now I fear how the post-sale service will be for this brand.

",3.0 out of 5 stars
Amazon Customer,"

  This is my first android tv and hope that I get a good experience using it for at least 6-7 years. My initial review is, picture and sound quality is good, wi-fi connectivity is also good, it is easier to setup, HD content is awesome, SD content with my IN cable setup box is ok. Overall a happy customer as I got it a good price.

",4.0 out of 5 stars
alok,"

  1. Amazon Prime works fine on some occasions, but  not able to store credentials, so again and again login is required.2. On some occasions, composite video souce is not detected, so we have to give restart to tv, then it works.3. Default source selection option is not available, so u need tv remote every time u need to watch your dish tv.Within two days vu support team visited the home and resolved almost all issues. Default input selection is not possible in this model, so keep TV remote along with cable TV remote.I am satisfied with the support and resolution.

",5.0 out of 5 stars
Yalprasath,"

  Vu ultra 32 inch smart tv review :Bought it for 11.8K and it is worth every penny. The smart features are excellent. Audio options are good. Some of you may feel, the voice is not enhanced but the music is. You need to adjust options in sound settings. Picture quality is good but the default picture option is too bright. Let's see pros and consPros : Picture quality, Sound options, Smart features, Quick app change options, Google home, Chromecast is quick, multimedia plays most of the formatsCons : Takes time after turning on (from total switch off), volume displays with a time lag when you increase or reduce, voice search is not working at all.Overall, a safe bet to buy and this is the best tv under 12k without even an inch of a doubt. The neutral installation service person also said this the best tv in 32 inches under 12k right now. Go for it.

",5.0 out of 5 stars
Krishnakumar,"

  When I was booking this TV there was no ratings but now I could see plenty of negative comments, To be honest I do not know giving a positive rating at this juncture is correct or not as it is too early to judge/comment, but in my personal opinion on my last 2 days experience the product is very good for its price tag and the working features with the device.Secondly I've gone through all negative reviews and compared it with my TV, unfortunately none of them are valid, Prime is perfectly registered and we finished watching 2 full movie as well.  But yes couple of vital things are missing ""Mic enabled remote"" and ""Bluetooth"" with some hiccups here and there but eventually the product is phenomenal in my 2 days experience.

",5.0 out of 5 stars
Mohit Mehta,"

  This is my 3rd VU tv have moved to VU from brands like Sony and LG and this brand has never disappointed me. Best part is the picture quality, colours are very vivid. On comparing to my cousin's  MI tv I found the picture quality to be far better. Now people are running towards features but at the end of the picture quality is something which impacts your experience the most. So advice is to save money go for this product with extended warranty and enjoy peace of mind.

",5.0 out of 5 stars
DHANI RD,"

  Picture quality is good even SD channels are viewable. HD contents from YouTube and Prime video are good to enjoy.Sound quality is not disappointingIt would be great if I got voice remote with the TV, which is an added advantage in Motorola TVOverall good after one week usageFor prime video registration issues update the system software and reset the device, now you can register in prime video.

",4.0 out of 5 stars
Rahul M.,"

  Excellent smart TV at a very affordable rate. The TV is better than I expected with full functionality.I am thinking of buying same with a bigger screen for another room though I do not require.One can compare it with the most popular brands.Just one issue -The Prime Video app does not register or accept my current id and password and asks to wait which never gets over. Tried many times in different ways. The Prime Video app works fine in other brand TV.

",5.0 out of 5 stars
Amazon Customer,"

  Amazon prime video supporting error in this 32 inch variant inspite remote has dedicated video button for prime video.. it is outdated if u r buying for streaming content then go for another tv beacause app like prime video are not responding

",3.0 out of 5 stars
Uday Kumar,"

  We observed that power supply was passing for all screw fittings attached pictures for your reference..it is very highly safety risk.. please need support from Amazon immediately with out delay..

",3.0 out of 5 stars
Arvind Rajhans,"

  Bought this 32"" Android TV during Dussehra Sale for a meagre amount which was little less than even 10K. Firstly it was delivered well on time and When I opened the package, I was impressed with the looks. Installation itself is damn easy and I mounted it on the wall. Picture quality, sound quality is awesome and ease of configuring the set with your mobile and broadband is extremely user friendly. The remote has user-friendly keys for direct access to Amazon prime, Netflix, hotstar, YouTube and Google Play. It can be connected by HDMI, USB , cables and even with the phones using MIRACAST. The response to Internet is crisp and overall it's a value for money. I presume that customer support mechanism too should be good because I received mails and phone calls ascertaining about the product satisfaction. Overall an economical buy wherein at this cost you hardly get a decent phone.

",5.0 out of 5 stars
Amitpal Singh Bhatia,"

  The second HDMI port is not functioning. I had never tried it earlier but tried it today. First connected a sound bar and it dint work. So just to check the port, I connected my DTH set top box to it (which has been functioning well with HMDI1) but even that isn’t working in HDMI2 so clearly the port is defunct.

",1.0 out of 5 stars
VJ,"

  Well to begin with this is TV is absolutely steal at the current pricing. The only thing I found a bit off was the sound quality, the speech isnt clear enough. Should improve with the use of equalizers I suppose. But overall the look, video quality, sturdiness is pretty good. I find it worth to buy!

",4.0 out of 5 stars
Saba,"

  Good product valuable for money

",5.0 out of 5 stars
Vaibhav sharma,"

  Nice TV, worth the money you spend on a budget TV. Amazon prime working only after updating the system software. Everything is fine, prime working perfectly fine after updation.Picture quality good, sound is good for you tube and DTH connection but a little bit low with the Amazon prime and Netflix. Overall a good smart android TV in budget with inbuilt features. 3 days of using but satisfied till now.

",5.0 out of 5 stars
Debdeep Banerjee,"

  After unpacking just plugged on to see the picture quality of the TV....That is the surprise waiting for me..... Display completely defective,,, Many horizontal lines passing through the display also  three or four  chunks of good size are of bad quality......I am completely disturbed and dissatisfied with Amazon regarding this dealing

",1.0 out of 5 stars
Rajas B,"

  I bought this around 2 weeks ago and used it a lot.Why to buy it -1. Really good picture quality.2. Decent sound.3. All Android TV features.4. Easy interface while pairing devices like speakers.5. Build quality is good6. Display panel is bright enough and viewing angles are greatSome things that I dont like -1. Remote is to cluttery.2. No google assistant feature as remote doesn't have mic.3. Some minor lags. Slightly slow processor.Its value for money. Definitely.

",4.0 out of 5 stars
Naveen,"

  Picture quality of too good and good music. Screen will not reflect any lights which gives good viewing experience.Only missing feature is voice commands through remote but alternatively we can use android tv app.But sometimes music is more than voice. I hope vu will fix it with otp update.

",5.0 out of 5 stars
Vijay S.,"

  Worst tv in terms of quality. Installation never happened and we did ourself. Returned the TV

",2.0 out of 5 stars
s singh,"

  Its been 8 months since i have purchased this TV. So far it has run pretty smooth. Product delivery and setup were both above satisfactory.Pros:-1. Looks very decent with slim bezels2. No trouble given so far in almost one year since purchase3. All apps are pre installed like Hotstar, amazon prime, netflix and run smoothlyCons:-1. Sound lacks little voice clarity, you cant change picture or sound mode if you are casting through mobile like hotstar or amazon prime2, USB and other ports are very difficult to access since they are at the back side, very deep inside. Especially if you plan to wall mount the TV3. Picture quality cannot be adjusted while casting from mobile. Sometimes it becomes very darkRest the TV is fast and smooth and will not disappoint much. Decent buy for this price.P.S. : I am not a user of firestick or any related voice enabled programs so i cant comment on that

",4.0 out of 5 stars
Bharali,"

  i have very new experience. i like this product. smart features are working good. sound and picture quality are very good etc.. . But the most important things installation. my seller is CUDEL DELIGHT SOLUTIONS PRIVATE LIMITED they are set installation Date and Time. I waited for installation but they are not come. and i recived a e-mail from CUDEL. say our technician partner that he was unable to attempt the service due to ongoing government restrictions in your location/city. they are mislead me because there are no any  restriction in my address.

",5.0 out of 5 stars
Nagarjuna,"

  Product support is good. Prime videos working properly after updating software. We can download latest update from their site.Dolby digital audio is good. Music is little dominating voice. Still its give you awsome experience if you can increse the sound.Good product in this price range. They reacted immediately to update my software.Thanks

",5.0 out of 5 stars
vivek,"

  Picture quality - 4/5Pretty goodSound - 2.5/5Dialogues are not clear at all with dts turned on.I had to tweak my Equalizer to get clear dialogues. Still very disappointing.Performance - 4/5Goodwifi connectivity -4.5/5No issues at allCasting - 3.5/5Casting is slow. Videos on andorid phone aren't played properly. Use vlc or MX player to play phone videos properly.Casting from youtube, Netflix, prime is very good.

",3.0 out of 5 stars
DILIP K.,"

  Got the product for 10,349 after discount. Picture quality is very good in this price range.  Sound quality is also good for a small room. Few drawbacks which i noticed after 10days of usage are1. Zee5 app is crashing2. Even if you sign in to amazon prime, once you come out of the app and  go back it asks to sign in again.3. Overall i felt the response of the apps are little slow. Could have been little faster. I dont notice this in my TCL 55inch TV.

",4.0 out of 5 stars
Shaheen,"

  This is the second review I am submitting on the purchase done 3 weeks back. 1st review amazon has removed it, not sure why as i have given 1 star since the installation team kept on changing the dates and eventually we didn't want the return period to be get over without checking if the TV is working. We have installed it ourselves. Apart from the installation, we are satisfied with the VU tv. Picture quality is superb, not sure why people comment with issues such as prime videos not working. One thing to note is either they don't have an amazon prime purchased or they don't know how to connect to TV. We have not tried other apps yet other than prime videos and youtube. But we are happy to select VU.Will update on other features after we for another month.Would have given 5 star if we had the installation done by the installation team.

",4.0 out of 5 stars
Rajesh,"

  Very Good Deal, picture and sound quality is good. Connectivity is seamless (WiFi, Bluetooth, Casting), package included a wall mount.Took a while to resolve the Amazon Prime app issue. The issue is that after login to Amazon Prime app, it will ask additional registration on primevideo/mytv site. Even after registering, the app doesn't proceed further. This issue was resolved after following the 2 steps:1. System Update (Settings, About the Phone, System Update)2. If the above doesn't solve, do a factory reset. (Settings, About the Phone, Reset)

",5.0 out of 5 stars
Yvonne Furtado,"

  I am a senior citizen who is extremely annoyed.Vu tv ultra Android purchased but vu California android tv given.

",1.0 out of 5 stars
Parampreet Singh Bedi,"

  No Google Assistant support within Remote unlike other Android TV from Mi, Tcl and othersAt times UX is not very smooth. Also app data gets cleared sometimes on update so requiring re login into app.It is a growing brand like Mi and others in budget segment and so are still learning.Products are not perfect like Sony, LG etc and random issues are there which are not very frequent though.Customer support is prompt though. Issues are there but they provide bug fixes to mitigate many of those.Product quality and performance is somewhat satisfying according to the price range. Dont expect perfection like bigger brands though.Overall you dont regret buying it at this budget since most useful features are there.

",4.0 out of 5 stars
Nikhil ,"

  Amazing TV set. And you get 200% more than the paid value. The picture quality is unbelievably clear and the sound is pretty decent. Remote quality is top notch and it works in any direction. The amazon, netflix, hotstar, youtube shortcut buttons on the remote control adds charms to it. Android is flawless and responsively swift. I have installed dozen of apps, yet the performance is intact.Overall it’s an amazing product and thanks to amazon for timely delivery. And best part is its not a chinese product. Go for it.

",5.0 out of 5 stars
Amit Parmar,"

  Smart Features works well - 4 StarPicture quality - 5 StarVoice Recognisation - 3 Star (Does not work sometimes and gives an error).Sound Quality - 3 Star (Sound quality is not so good even after it's of 24 watts).For Installation Service - NO STAR - WORST SERVICES PROVIDED BY AMAZON. TROUBLED ME A LOT FOR INSTALLATION.

",4.0 out of 5 stars
Nirav Panchal,"

  Ordered this tv on Friday evening. Got it for around 17300 rs after applying all eligible discounts.It got delivered on Saturday morning. The installation was requested for Sunday morning but as the installation person was in same area on Saturday evening, installation was complete on Saturday itself.From Amazon part, delivery and installation was before time 🙂Now coming to the product,Considering price, it is truly amazing. The bazels are reasonably thin, TV is quite slim as well.Panel is very bright (due to the fact that vu uses Direct led panels instead of edge led), color reproduction is more on a saturated side but overall good. Viewing angles are also fine. So overall picture quality is good. Not a big fan of cricket so can't comment on cricket mode.Sound quality is good but not that great. When surround sound is on, music tends to become loud which makes the vocals muffled. I use home theatre so this doesn't bother me.As this is pure android tv, it has got a stock android interface which i like over custom interfaces like patchwall is web os. Navigation is almost smooth. Remote is not the bluetooth one but still works well. Voice recognition is not supported by remote but can be done using android tv remote app on Google Play. It has dedicated buttons for Netflix, YouTube, prime video, bistar and Google Play which works well.Doesn't lag even after having only 1 gb of ram, probably that it due to stock android. It is running Android 9 out of the box which is good.Prime video works fine after a reset!Overall this is a good budget smart tv if you don't want fancy things like HDR10, voice remote and all which in practicality never used.

",5.0 out of 5 stars
Vishnu,"

  I am writing this post one months of use.Pros - Good picture quality, though not 4k it will play  4k videos in good quality.Good sound effect. Dolby available.Seperate buttons for prime, YouTube, hotstar & Netflix.Connectivity to wifi and configuration is easy.Can control using Google home voice.Installation service is good.Chrome cast works perfectCan connect blue tooth speaker with the tvCones:There is nothing much to write here. Compare to other brands of same range this seems to be better in quality.No mouse pointer remote. Trying some thing on TV will be bit difficult

",4.0 out of 5 stars
Rahul Mohanty,"

  TV exceeded my expectations. I primarily went for this TV as an easy substitute for my kid's nursery rhymes and an alternate viewing options for homemade videos. But the picture quality is quite good with an easy interface to use with most popular choices (Netflix, Amazon Prime, YT and Hotstar ) already built with a single button access.The installation guy guided us with the necessary details for a seamless experience.

",5.0 out of 5 stars
Amazon Customer,"

  I am quite happy with my purchase of Vu 40GA. The picture quality of this tv is very good with wonderful rendition of HD content. The sound quality though depends a great deal on the source.  Bluetooth connectivity, playback from USB drives, casting from smart phone all work well. Even composite input from an old DVD player via an old A/V cable gets reproduced without any hitch.The only thing lacking is mic support on the remote for Google Assistant. Had it been present, it would have been a perfect addition to the hotkeys for Netflix, Prime Video, YouTube and Google Play on the remote.

",5.0 out of 5 stars
MANOJ KUMAR,"

  First day review:The delivery, installation all were pleasant experience.Usage experience:Started using so far so good. Checked all aspects, smart features, live tv. Pen drive, HDMI connection, bluetooth. All are working fine. The audio and video quality is really good.In standard mode the picture quality have rich colours. So need to adjust some colour ratio. Played 1080i HD videos worked really great.

",5.0 out of 5 stars
Amazon Customer,"

  IT IS AN ENTIRELY HONEST REVIEW1. TV HAS DEVELOPED WHITE DOTS ON BLACK LED, AS IF LED HAS DIFFUSED.2. TV DOES NOT SUPPORT VOICE RECOGNITION.3. DOES NOT RECOGNISE VOICE COMMAND.4. CUSTOMER SERVICE DOES NOT RESPOND.

",1.0 out of 5 stars
POONAM Patil,"

  Worse sound quality.....they have used road side speakers in this tv...you always need to keep you're fingers on volume buttons...owesome picture quality with worse sound is useless...if you have budget to buy the well known brands then don't go with VU...I have returned this tv and buy lg payed 10k more but satisfied with pictures quality and good sound

",1.0 out of 5 stars
What the...,"

  Hi,I say this with a heavy heart but even at this price range- a brand should not be seeking a TV with sound that is inaudible. It’s a shame that the audio cracks/bursts even at 20 percent volume. I think there’s a defect when it comes to bass. Happens on all video apps and channels.Yes the TV is slim, has a decent UI, comes with good picture clarity but it’s all useless if the sound quality is shambolic. Quite disappointed that VU is marketing this product with claims of Dolby Audio output when it can’t even give you CRT level clarity for now. Don’t know what to do with the piece during this lockdown now. My ears hurt thinking about how bad the sound can get on this TV.

",2.0 out of 5 stars
paranirajan,"

  Initially i was hesitant to buy VU brand. But this is for my parents , the were using old CRT TV.so wanted to upgrade it.Confusion between vu,MI,micromax,tcl and Santo. But many social media ppl replied with VU tv  with half mind. Even i got offer for LV TV around 13k. But already i had LG TV, it was having diplay issue. Every 2 years, inside led plastics fell off. And spent 5000 every two years. So i don't want to go for LG brand. And ordered this vu android latest TV. Since it's new to the market, I didn't get many reviews. With half minded i ordered. Tv reached earlier than expected (remote village in Tamilnadu)..But installation didn't happen at scheduled time. 4 days later.  So i saw my TV installed 2 days back only. Its not HD but HD Ready. But quality of video is perfect HD for 32 inches. Played Netflix and YouTube videos seamlessly...Many ppl reviewed other VU branda having low volume...no... Its sound volume is more than expected. For my family its enough. Dolby effect also gud . ( if u need more effect pls go for home theatre) Netflix, hotstar and YouTube with remote buttons, we can get easily. ( in hotstar i couldn't able to select subtitles)I reduced one star because, amazon prime button in remote. But its having login issues. Even though we registered out TV in amazon page, I can't run amazon prime in this TV.But its having Inbuilt Chromecast. So u can cast all from ur mobile to TV.Now i can't tell abt durability, but its worth for every penny...I think VU is cheap and best. Simply go for it ❤❤❤❤update on 08Jan2020:**************************I checked after two months.. amazon prime login issue got resolved. I donno how. Now amazon prime also working fine. No lag till now...

",4.0 out of 5 stars
Sunit Bali,"

  This is my third Vu TV purchased online , this time Value for money Smart TV got it at very good price easy to setup , great picture quality . Only installation took time deliver was on schedule but installer turned up 6 days after delivery.

",5.0 out of 5 stars
Tanay sarkar,"

  Overall quality is very good. A+ grade panel gives you outstanding quality but If you can spend 500 rupees more than go for VU Cinema.Comparison:Vu Ultra - 20w speaker vs Vu Cinema -40w speaker.Vu Ultra - Down mounted speaker vs Vu Cinema - Front mounted speaker.Vu Ultra - No Google assistant button vs Vu Cinema - Inbuilt Google assistant button.Vu Ultra - voice recognition doesn't work vs Vu Cinema - voice recognition works great.*Without voice search its very disturbing to find and press every single letter. Even I tried many times to use YouTube voice option but it's not working.

",4.0 out of 5 stars
AIMAN S.,"

  I bought this tv this September for 9.2k. After 10days of use I'm reviewing this product.Pros :1. Dedicated buttons for Amazon Prime, Netflix, YouTube,Hotstar.2. Picture Quality is good.3. Sound quality is awesome.4. U will get wall mount with tv.5. Connects with WiFi easily.6. Build quality is good.7. Android 9 pie version.Cons :1. No Google assistance.2. Every time u have to login to Amazon prime when u turn on Ur tv. Which is irritating. No remember me option.For this range I don't think u will get better TV. So my advice go for it.

",4.0 out of 5 stars
joseph walter,"

  Its been 3 months after purchasing this tv. At first i think of buying top brand. But noticed only after getting feedback from amazon and friends. Thank you for them to help me choose a good product. And about the tv, color quality is very good than my expectations with a good display quality in crazy budget. All smart features is there and working fine. You will definitely be surprised with the quality guys. For this price there is no such comparison. definitely go for it. Thank you amazon for quick delivery and set up.

",5.0 out of 5 stars
Ganesh Gullipalli,"

  This is worest product don't buy though on Amazon..I have received defective product and installation  took 20 days..after installation nknow that it's defective and return window got closed . When I calling to Amazon customer care they different process of email and trouble tickets but it's not resolved yet. They just doing time pass with out having proper response from them even installation person has identifies as defective.

",1.0 out of 5 stars
K N.,"

  I got it delivered in time... so the delivery aspect is very good. If you are buying this product for ""NETFLIX"" or ""AMAZON PRIME"" please please please think twice.... or thrice... For me It worked for two days.. then whenever i try to connect i get a message with some error code (even the codes are not same every time... some random error codes) which seems to blame the network. All my devices are working fine, at least no network issues. All other apps including YouTube is working just fine. Since the remote has dedicated buttons for the above said two apps, expecting them to work perfectly is fair and those apps not working is unfair.

",2.0 out of 5 stars
ajae,"

  Absolutely brilliant! I was little skeptical about buying it since it was offering so much for so little. Its a 32 inch smart tv which offers great colours and contrast and surprisingly the white balance offered is good at this price. Sound quality is fine though not great. Smart TV features are working smoothly (youtube, Amazon prime, sonyliv ) i had no issues while launching applications or while streaming them infact i can compare it with my firestick which i have for my other room. It also has a  blutooth receiver as well The build quality is more than acceptable. It doesn't feel clumsy at all, the provided Remote is also sturdy and its buttons are responsive.  The only thing which is at the downside is the OSD menu which could have been better in terms of screen positioning and the user interface ... Anybody who wants to buy a smart tv should not think twice ..just go for it ! Its a steal at the current discounts and offers ..

",5.0 out of 5 stars
Dúj77,"

  The TV is good as far as the picture quality is concerned.Don't expect a ""wow"" crisp display, you cannot compare this to a Samsung / Sony / Panasonic.It's decent for the price you are paying.Sound is good.The only feature with lacks detailing is the smart feature. You can't install thrid party apps. The store is very limited as far as app. selection goes. I would suggest two things1. Go for Mi or buy a Amazon firesitck or the chrome cast.

",5.0 out of 5 stars
NEERAJ ,"

  Amazon prime plays only HD Video in 720p but Tv has 1080p display. The sound is Not properly come out through tv for 2-3 starting minutes on Amazon prime. The blutooth range is not good. I am standing infront of Tv about 1-2 meter away and my wireless headphones is not working properly . The sound in headphones are coming into pieces means not coming properly.Tv pictures quality is okay and sound is okay too. Sometimes if you play Full HD video , there is no sound coming out from it.When I first started TV , It was hanged and laggy then I did factory reset two to three times then the tv navigation works properly. I want to turn off the sound of navigation but I didn't find any option into this tv . Overall Tv is nice if you ignore these problems. Please fix sound problem in TV's Next OTA update.

",3.0 out of 5 stars
Garvit Rishi,"

  Best deal for the price. I have bought this one since I can get prime videos on iffalcon TCL TV or else I would have purchased their own already got 40 inches iffalcon tv.BUT, this one has Prime Videos so it's a bonus for our family.Pros:* Picture quality.* Performance is fast (exception: prime videos is a slow app in itself)* Looks great with thinner bezels* Many advanced settings for changing picture quality* Voice search (not every smart tv offers this feature)Cons:* Sound quality - bizzare (if you're used to of listening to external speakers with good quality - you can take about half hour to 1 hour to accept the average sound quality subconsciously)* No shortcut button for opening picture quality settings on the fly while any app is opened. Must go to home the fiddle with many menus to get there.* Voice search is supported by Android TV Control app but for some reason, it opens text search even though I press mic button for a voice search. I must go to HOME and then manually choose voice search then use my phone for voice search.Verdict:Go for it! You'll not regret it once you've found the picture quality settings as per your liking (no further changes needed, no menu navigation hassle). And if you have external speakers - sound quality issue is gone as well. Even if you don't have external speakers for some reason - yours ears get used to the sound within 15 minutes. Just focus on the content rather than the audio. :D Voice search isn't much big of a requirement as it's usability is limited.Suggestion: With such a cheap TV, a good sound bar or speaker system will turn this into a great bedroom home theater system. ;)

",5.0 out of 5 stars
Vyshak k unni,"

  Great panel with true black levels..great value for money you can get a level of picture clarity like in samsung,sony etc...Pros: 1 colour production is excellent  2 True black levels  60hz is good 4k is playing smoothly(only  max out in 1080)  3 good finish and design&weightless  4 low power consumption  5 looks like a premium tv like samsung,sony  6 great pricingCons: 1 overall bootup time is long  2 processor is not that much fast( but ok)  3 sound is good surround but less base.voice  clarity is low. It is good to get a sound bar.Overall: less cons more pros.  1  In terms of panel it is the best.you won't  regret it and really feels like samsung or  sony panels.  2  sound is good dolby digital plus  3  great pricing and great package of  display, sound, design.Defenitly you can go for it....

",5.0 out of 5 stars
